VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1GCDE14HXV,Snohomish,Marysville,WA,98270.0,1997,CHEVROLET,S-10 PICKUP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,39.0,0.0,38.0,216755437,POINT (-122.1515174 48.0650751),PUGET SOUND ENERGY INC,53061052805.0
1FTZR0812X,Skagit,Mount Vernon,WA,98274.0,1999,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,74.0,0.0,10.0,155686436,POINT (-122.2881784 48.4128748),PUGET SOUND ENERGY INC,53057952700.0
1FTZR0819X,Whatcom,Deming,WA,98244.0,1999,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,74.0,0.0,42.0,194395092,POINT (-122.1300573 48.8238837),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010103.0
1FTZR0813X,Pierce,Graham,WA,98338.0,1999,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,74.0,0.0,2.0,169463255,POINT (-122.2894997 47.0293015),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053073116.0
1FTZR0812X,Pierce,Graham,WA,98338.0,1999,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,74.0,0.0,2.0,215121742,POINT (-122.2894997 47.0293015),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053073116.0
1FTZR0818X,San Juan,Eastsound,WA,98245.0,1999,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,74.0,0.0,40.0,262410760,POINT (-122.9129975 48.6692106),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960101.0
1FTZR0816Y,Thurston,Olympia,WA,98506.0,2000,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58.0,0.0,22.0,8166497,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067012100.0
1FTZR0817Y,King,Seattle,WA,98117.0,2000,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58.0,0.0,36.0,142611402,POINT (-122.377938 47.690166),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001500.0
1FTZR0879Y,Whatcom,Everson,WA,98247.0,2000,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58.0,0.0,42.0,122864766,POINT (-122.3616332 48.9071317),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010201.0
1FTZR0816Y,King,Shoreline,WA,98133.0,2000,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58.0,0.0,32.0,205243356,POINT (-122.342434 47.736655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020900.0
1FTZR0813Y,Whatcom,Everson,WA,98247.0,2000,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58.0,0.0,42.0,8650316,POINT (-122.3616332 48.9071317),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010201.0
1FTZR0819Y,King,Shoreline,WA,98133.0,2000,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58.0,0.0,32.0,9440952,POINT (-122.342434 47.736655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020302.0
